customer_id,tenure,monthly_charges,total_charges,num_logins,support_calls,is_active
CUST_0000,29,72.58700107959828,2546.903155477944,13,0,1
CUST_0001,15,16.789109238079234,2867.947122534263,23,6,1
CUST_0002,8,24.959388871832765,506.28281560554683,83,4,1
CUST_0003,21,29.51281959278421,1888.8310251697226,75,7,1
CUST_0004,19,36.50445521554869,1449.0000606660903,1,7,0
CUST_0005,23,99.62482375264337,1065.932009530488,88,8,1
CUST_0006,11,72.72325502774333,1087.0434753459456,54,6,1
CUST_0007,11,44.57816482412979,1267.7409742899192,71,0,1
CUST_0008,24,76.33906352587174,2129.5303715824116,89,2,1
CUST_0009,24,92.37289075021957,1814.9438718910562,85,7,1
CUST_0010,3,96.28321666670615,1406.0604626453369,15,2,1
CUST_0011,22,15.207750798193665,274.0035605903852,65,7,1
CUST_0012,2,45.50696187473169,279.4077650329234,76,0,1
CUST_0013,24,19.608045934229594,56.901202346045864,71,4,1
CUST_0014,30,40.209405831726684,2904.713195210905,15,3,1
CUST_0015,2,25.271191350600898,65.4987647472355,21,4,1
CUST_0016,21,68.21635255018515,354.1265507405474,19,7,1
CUST_0017,33,44.944154559088496,978.0598425877622,60,9,1
CUST_0018,12,30.64552711344547,2431.9192428594456,93,3,1
CUST_0019,22,33.9344132467815,2888.191418004147,89,3,1
CUST_0020,25,42.43105856847414,2380.5399984359756,33,2,1
CUST_0021,27,33.395487656883645,2087.15268571464,49,6,1
CUST_0022,28,50.791676214594794,1587.8369688700298,96,2,1
CUST_0023,16,12.908435599868541,305.7803749934416,35,2,1
CUST_0024,15,35.178715645205116,2876.6038393615945,44,9,1
CUST_0025,3,47.00860487849676,2287.2576211397604,90,4,1
CUST_0026,7,64.25036938209686,1934.9006867360724,11,4,1
CUST_0027,21,34.38618782636169,2289.155744339607,99,5,1
CUST_0028,9,21.986661270137475,2186.1048213557588,72,7,1
CUST_0029,18,16.858034163924685,1929.8331603789861,78,9,1
CUST_0030,4,94.64786444218451,2942.7015605309653,74,5,1
CUST_0031,25,47.49751519646313,2714.9232472762737,66,0,1
CUST_0032,14,62.30463590627436,1957.661511395632,46,7,1
CUST_0033,9,92.72588966520036,2094.866873797928,9,7,0
CUST_0034,26,17.447357803177553,202.20762964319448,3,8,0
CUST_0035,2,88.89953373332135,2026.2565204226157,85,8,0
CUST_0036,20,59.6429085289663,180.28804124479552,26,1,1
CUST_0037,28,24.835083502330086,1785.3780830612966,72,1,1
CUST_0038,7,47.01296049268321,2998.092823719213,48,2,1
CUST_0039,8,79.9842055361703,1689.62941523968,66,0,1
CUST_0040,35,53.23330736797192,1445.9698483399336,70,3,1
CUST_0041,14,98.67574455989539,972.9218266914833,28,3,1
CUST_0042,17,43.906507294414666,405.5416074200701,93,8,1
CUST_0043,4,77.46204699784649,2206.5198308019308,26,8,0
CUST_0044,2,45.36905040809732,618.1671319676097,25,8,0
CUST_0045,6,84.6247798635863,390.0819626794889,12,9,1
CUST_0046,4,61.217332224917286,1294.199846205012,5,6,0
